week,week_label,week_start,week_end,title,authors,abstract,published,source,journal,volume,issue,relevance_score,matched_keywords,url,pmid,doi
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Plasma proteomic associations with Alzheimer's disease endophenotypes.,"Shiva Afshar, Eric B Dammer, Shijia Bian...","Clinical Alzheimer's disease is currently characterized by cerebral β-amyloidosis associated with cognitive impairment. However, most cases of Alzheimer's disease are associated with multiple neuropathologies at autopsy. The peripheral protein changes associated with these disease endophenotypes are poorly understood. In this study, we analyzed the plasma proteomes of individuals from four cohorts (n = 2,139 participants) to identify proteins and pathways associated with cerebral β-amyloidosis and other neuropathologies, including tau, Lewy bodies, TDP43, cerebral amyloid angiopathy, atherosclerosis, arteriolosclerosis and infarcts as well as cognitive function. Analyses in a cohort with paired brain data showed that known neuropathologies could account for only half of proteins associated with cognitive function and that many plasma proteins associated with these neuropathologies are not strongly correlated to levels in brain, suggesting a potential contribution of peripheral factors to the development of Alzheimer's disease endophenotypes. Targeting pathways represented by these peripheral proteins may modify Alzheimer's disease risk or disease progression.",2025-09-10,PubMed,Nature aging,,,10.5,"Alzheimer's disease, amyloid, tau, plasma, brain",https://pubmed.ncbi.nlm.nih.gov/40931114/,40931114,10.1038/s43587-025-00965-4
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Machine learning diagnosis of mild cognitive impairment using advanced diffusion MRI and CSF biomarkers.,"Alexander Y Guo, John P Laporte, Kavita Singh...","Machine learning applied to neuroimaging can help with medical diagnosis and early detection by identifying biomarkers of subtle changes in brain structure and function. The effectiveness of advanced diffusion MRI (dMRI) methods for pre-dementia classification remains largely unexplored, particularly when combined with CSF biomarkers.",2025-01-01,PubMed,"Alzheimer's & dementia (Amsterdam, Netherlands)",17,3,6.5,"MRI, dementia, brain",https://pubmed.ncbi.nlm.nih.gov/40949843/,40949843,10.1002/dad2.70182
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Plasma Phosphorylated Tau 217 to Identify Preclinical Alzheimer Disease.,"Gemma Salvadó, Shorena Janelidze, Divya Bali...","Advances in Alzheimer disease (AD) have shifted research focus to earlier disease stages, necessitating more scalable approaches to identify cognitively unimpaired individuals with amyloid β (Aβ) pathology.",2025-09-15,PubMed,JAMA neurology,,,6.199999999999999,"amyloid, tau, plasma",https://pubmed.ncbi.nlm.nih.gov/40952756/,40952756,10.1001/jamaneurol.2025.3217
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Social exposome and brain health outcomes of dementia across Latin America.,"Joaquin Migeot, Stefanie D Pina-Escudero, Hernan Hernandez...","A multidimensional social exposome (MSE)-the combined lifespan measures of education, food insecurity, financial status, access to healthcare, childhood experiences, and more-may shape dementia risk and brain health over the lifespan, particularly in underserved regions like Latin America. However, the MSE effects on brain health and dementia are unknown. We evaluated 2211 individuals (controls, Alzheimer's disease, and frontotemporal lobar degeneration) from a non-representative sample across six Latin American countries. Adverse exposomes associate with poorer cognition in healthy aging. In dementia, more complex exposomes correlate with lower cognitive and functional performance, higher neuropsychiatric symptoms, and brain structural and connectivity alterations in frontal-temporal-limbic and cerebellar regions. Food insecurity, financial resources, subjective socioeconomic status, and access to healthcare emerge as critical predictors. Cumulative exposome measures surpass isolated factors in predicting clinical-cognitive profiles. Multiple sensitivity analyses confirm our results. Findings highlight the need for personalized approaches integrating MSE across the lifespan, emphasizing prevention and interventions targeting social disparities.",2025-09-11,PubMed,Nature communications,16,1,6.199999999999999,"Alzheimer's disease, dementia, brain",https://pubmed.ncbi.nlm.nih.gov/40935836/,40935836,10.1038/s41467-025-63277-6
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,A unified 3D reconstruction of microscopy and MRI in a brain showing Alzheimer's disease-related neuropathology.,"Anneke Alkemade, Pierre-Louis Bazin, Evgeniya Kirilina...","To bridge between detailed post-mortem neuropathological assessments and Magnetic Resonance Imaging (MRI), we have created and share a three-dimensional (3D) account of an entire human brain with an intermediate Alzheimer's disease neuropathologic change. We combined multimodal imaging, using cryosectioning, histology, immunocytochemistry, and quantitative ultra-high field 7 Tesla (T) magnetic resonance imaging (MRI) at submillimeter resolution. Amyloid-β and phosphorylated-tau immunoreactivity, cell soma, and nerve fibers were visualized, together with quantitative MR parameters. All data were coaligned with at 200 μm resolution and are openly shared. The use of whole-brain sections allows for a detailed assessment of neuropathological alterations, revealing clear differences between the left and right hemispheres in terms of pathological load of amyloid-β and phosphorylated-tau in a single brain showing Alzheimer's disease neuropathologic change. This resource opens the door for a combination of detailed correlations between neuroimaging and neuropathological microscopy observations, as well as for detailed MRI validation.",2025-09-11,PubMed,"Brain pathology (Zurich, Switzerland)",,,6.1,"Alzheimer's disease, MRI, amyloid, tau, brain",https://pubmed.ncbi.nlm.nih.gov/40935389/,40935389,10.1111/bpa.70039
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Linking silent pause locations in speech to amyloid and tau deposition in cognitively unimpaired individuals.,"Madeline R Hale, Rebecca Langhough, Kristin E Basche...","BackgroundConnected speech and language (CSL) analysis can differentiate typically aging individuals from those with dementia by identifying subtle changes in language-dependent measures, such as lexical diversity and fluency. Prior studies have linked features like slower speech rates and increased silent pauses with Alzheimer's disease (AD) neuropathology, but the pause patterns in preclinical AD and their syntactic locations remain unclear.ObjectiveTo investigate silent pauses as a potential early detection tool for AD in cognitively unimpaired individuals and compare their sensitivity to traditional neuropsychological tests in distinguishing biomarker-positive and biomarker-negative groups.MethodsCognitively unimpaired participants from the Wisconsin Registry for Alzheimer's Prevention with amyloid (A) and tau (T) PET imaging were included. Twenty-six participants with A+/T+ profiles were matched 1:1 with A-/T- individuals using propensity score matching for age, sex, literacy, and race (n = 52). Participants were majority female (75.6%) and non-Hispanic white (91%) with a mean (sd) age of 67.5 (6.2). CSL samples were derived from the Cookie Theft picture description task closest to PET scans. Pauses were annotated using ELAN at utterance-initial, clause-initial, and within-clause locations, with further categorization of within-clause pauses by part of speech (nouns, verbs, adjectives/adverbs). Pause rates and durations were analyzed using Mann-Whitney U tests, with effect sizes measured by Cliff's delta (δ).ResultsA+/T+ individuals had longer adjective/adverb-initial pauses than A-/T- (",2025-09-11,PubMed,Journal of Alzheimer's disease : JAD,,,5.9,"Alzheimer's disease, PET, dementia, amyloid, tau",https://pubmed.ncbi.nlm.nih.gov/40934091/,40934091,10.1177/13872877251371720
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Senescent-like border-associated macrophages regulate cognitive aging via migrasome-mediated induction of paracrine senescence in microglia.,"Mengyan Hu, Xinmei Kang, Zhiruo Liu...","Aging is a major risk factor for various neurological disorders, including Alzheimer's disease, and is associated with the accumulation of senescent cells, which can themselves propagate the senescence process through paracrine signaling. Migrasomes are organelles that form during cellular migration, detach from parent cells and mediate intercellular communication. Here we demonstrate that border-associated macrophages (BAMs) acquire senescence-associated properties during early brain aging, possibly due to prolonged exposure to amyloid beta. Senescent-like BAMs show elevated production of migrasomes, which convey senescence-associated signals including the apoptosis inhibitor of macrophage to neighboring cells. We show that microglia are prominent recipients of senescent-like BAM-derived migrasomes, and that through activation of CD16 in recipient cells, the apoptosis inhibitor of macrophage inhibits apoptosis and promotes senescence induction. Blocking migrasome induction in senescent-like BAMs through treatment with Tspan4-targeting siRNA-encapsulated liposomes ameliorates cognitive deficits in aged mice. Our findings suggest that migrasomes are potent vehicles of senescence-regulatory signals and represent a promising target for senomorphic therapy.",2025-09-10,PubMed,Nature aging,,,5.8,"Alzheimer's disease, amyloid, brain",https://pubmed.ncbi.nlm.nih.gov/40931113/,40931113,10.1038/s43587-025-00956-5
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Analytical considerations and clinical utility of plasma phosphorylated Tau217.,Hans Frykman,"Blood-based biomarkers are an easily available and practical tool for Alzheimer's disease (AD) screening and diagnosis. Plasma phosphorylated Tau217 (p-tau217) is the front-runner candidate for AD diagnosis due to its strong correlation with core AD pathology determined either by cerebrospinal fluid biomarker (CSF) and positron emission tomography (PET) or postmortem examination. While plasma p-tau217 is firmly associated with AD pathology, it is crucial to evaluate its performance in distinguishing AD from mixed pathologies, as brain autopsies have shown the coexisting of AD pathology with other related types of dementia. Moreover, the measurement of AD biomarkers will be a crucial element in defining eligibility for disease-modifying treatment in clinical practice. Moreover, plasma p-tau217 is a highly efficacious biomarker in the early detection of Aβ pathology, making it a feasible test for AD screening in clinical practice. Several assays, including the ALZpath p-tau217 assay and the Fujirebio plasma p-tau217 assay, have been made commercially available for research use. A few studies analytically and clinically have validated these immunoassays as laboratory diagnostic tests for AD diagnosis and differentiating from non-AD neurodegenerative disorders in clinical practice.",2025-09-15,PubMed,Critical reviews in clinical laboratory sciences,,,5.7,"Alzheimer's disease, PET, dementia, plasma, brain",https://pubmed.ncbi.nlm.nih.gov/40952136/,40952136,10.1080/10408363.2025.2551648
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Regional attention-enhanced vision transformer for accurate Alzheimer's disease classification using sMRI data.,"Alireza Jomeiri, Ahmad Habibizad Navin, Mahboubeh Shamsi","Alzheimer's disease (AD) poses a significant global health challenge, necessitating early and accurate diagnosis to enable timely intervention. Structural MRI (sMRI) is a key imaging modality for detecting AD-related brain atrophy, yet traditional deep learning models like convolutional neural networks (CNNs) struggle to capture complex spatial dependencies critical for AD diagnosis. This study introduces the Regional Attention-Enhanced Vision Transformer (RAE-ViT), a novel framework designed for AD classification using sMRI data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset. RAE-ViT leverages regional attention mechanisms to prioritize disease-critical brain regions, such as the hippocampus and ventricles, while integrating hierarchical self-attention and multi-scale feature extraction to model both localized and global structural patterns. Evaluated on 1152 sMRI scans (255 AD, 521 MCI, 376 NC), RAE-ViT achieved state-of-the-art performance with 94.2 % accuracy, 91.8 % sensitivity, 95.7 % specificity, and an AUC of 0.96, surpassing standard ViTs (89.5 %) and CNN-based models (e.g., ResNet-50: 87.8 %). The model's interpretable attention maps align closely with clinical biomarkers (Dice: 0.89 hippocampus, 0.85 ventricles), enhancing diagnostic reliability. Robustness to scanner variability (92.5 % accuracy on 1.5T scans) and noise (92.5 % accuracy under 10 % Gaussian noise) further supports its clinical applicability. A preliminary multimodal extension integrating sMRI and PET data improved accuracy to 95.8 %. Future work will focus on optimizing RAE-ViT for edge devices, incorporating multimodal data (e.g., PET, fMRI, genetic), and exploring self-supervised and federated learning to enhance generalizability and privacy. RAE-ViT represents a significant advancement in AI-driven AD diagnosis, offering potential for early detection and improved patient outcomes.",2025-09-12,PubMed,Computers in biology and medicine,197,Pt B,5.4,"Alzheimer's disease, PET, MRI, brain",https://pubmed.ncbi.nlm.nih.gov/40945221/,40945221,10.1016/j.compbiomed.2025.111065
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Neuroinflammation and Alzheimer's disease: Unravelling the molecular mechanisms.,"Aniket Kakkar, Harpreet Singh, Bhuvnesh Kumar Singh...","Alzheimer's disease (AD), the most prevalent form of dementia, is pathologically defined by amyloid-β (Aβ) plaques, neurofibrillary tangles, synaptic loss, and progressive neuronal degeneration. Increasing evidence highlights neuroinflammation as a central and modifiable factor in AD pathogenesis. This review critically explores the roles of microglia and astrocytes in mediating neuroinflammatory cascades, emphasizing their dual protective and detrimental functions. Microglial activation and astrocytic polarization into A1 (neurotoxic) and A2 (neuroprotective) subtypes are discussed alongside their contributions to Aβ clearance, tau pathology propagation, and synaptic dysfunction. The disruption of the blood-brain barrier, activation of inflammasome pathways such as NLRP3, and release of cytokines and chemokines exacerbate chronic inflammation and neurodegeneration. Advances in single-cell transcriptomics and lipidomics have revealed glial heterogeneity and novel molecular targets, including disease-associated microglia. Genetic risk factors like apolipoprotein E (",2025-09-12,PubMed,Journal of Alzheimer's disease : JAD,,,5.2,"Alzheimer's disease, dementia, amyloid, tau, brain",https://pubmed.ncbi.nlm.nih.gov/40938771/,40938771,10.1177/13872877251374353
